port_a,port_b,lag,corr,pval,pval_corrected
Antwerp,Busan,1,-0.0069,0.7268,0.9387171643602816
Antwerp,Busan,2,-0.0372,0.0586,0.4440911680911681
Antwerp,Busan,3,-0.013,0.5092,0.8765185903653412
Antwerp,Busan,4,-0.013,0.5083,0.8762657161373946
Antwerp,Busan,5,0.0055,0.7781,0.9540866773675762
Antwerp,Busan,6,0.0363,0.0645,0.46370270270270275
Antwerp,Busan,7,0.0546,0.0055,0.11474509803921569
Antwerp,Busan,8,0.0241,0.2201,0.6867016317016318
Antwerp,Busan,9,0.0119,0.5444,0.8874816176470588
Antwerp,Busan,10,-0.0003,0.9891,0.9962927382753403
Antwerp,Busan,11,-0.0307,0.1186,0.5547668122270742
Antwerp,Busan,12,-0.0186,0.3453,0.7855064047822374
Antwerp,Busan,13,-0.0064,0.7437,0.9445248868778282
Antwerp,Busan,14,0.0179,0.3642,0.7939812168231931
Antwerp,Chiba,1,0.0017,0.93,0.9874707520891364
Antwerp,Chiba,2,-0.0094,0.6327,0.9158847199564981
Antwerp,Chiba,3,0.0017,0.9326,0.9874707520891364
Antwerp,Chiba,4,0.0016,0.9339,0.9876677265500796
Antwerp,Chiba,5,0.0243,0.217,0.6854433234421364
Antwerp,Chiba,6,0.008,0.6828,0.930151569277877
Antwerp,Chiba,7,0.0136,0.49,0.8657588840916638
Antwerp,Chiba,8,0.008,0.6852,0.930151569277877
Antwerp,Chiba,9,-0.0366,0.0626,0.456415300546448
Antwerp,Chiba,10,-0.0199,0.3108,0.7683345724907064
Antwerp,Chiba,11,-0.0255,0.1943,0.6644878048780487
Antwerp,Chiba,12,0.0023,0.9079,0.9833939393939395
Antwerp,Chiba,13,0.058,0.0032,0.08106666666666668
Antwerp,Chiba,14,-0.0145,0.4616,0.8523818118708781
Antwerp,Guangzhou (Nansha),1,-0.012,0.5424,0.8870475606014114
Antwerp,Guangzhou (Nansha),2,-0.0064,0.7463,0.9446126810733793
Antwerp,Guangzhou (Nansha),3,-0.012,0.5405,0.8870475606014114
Antwerp,Guangzhou (Nansha),4,-0.0346,0.078,0.48579199999999995
Antwerp,Guangzhou (Nansha),5,-0.0117,0.5522,0.8905635159542445
Antwerp,Guangzhou (Nansha),6,0.0004,0.9825,0.9956520746098211
Antwerp,Guangzhou (Nansha),7,0.0686,0.0005,0.019558823529411764
Antwerp,Guangzhou (Nansha),8,0.0117,0.5507,0.8905635159542445
Antwerp,Guangzhou (Nansha),9,-0.0224,0.2548,0.72118043135192
Antwerp,Guangzhou (Nansha),10,-0.0338,0.0858,0.500739934711643
Antwerp,Guangzhou (Nansha),11,-0.0225,0.2537,0.7202155816435432
Antwerp,Guangzhou (Nansha),12,0.0173,0.3794,0.8046791550418494
Antwerp,Guangzhou (Nansha),13,-0.0055,0.7812,0.9540866773675762
Antwerp,Guangzhou (Nansha),14,0.0627,0.0014,0.04407100591715976
Antwerp,Gwangyang (Kwangyang),1,0.0337,0.0865,0.500739934711643
Antwerp,Gwangyang (Kwangyang),2,0.0004,0.9833,0.9956520746098211
Antwerp,Gwangyang (Kwangyang),3,-0.0129,0.5113,0.8785904392764857
Antwerp,Gwangyang (Kwangyang),4,0.0137,0.4874,0.8639240506329113
Antwerp,Gwangyang (Kwangyang),5,0.0079,0.6895,0.9301939393939394
Antwerp,Gwangyang (Kwangyang),6,-0.0119,0.5451,0.8875888650963598
Antwerp,Gwangyang (Kwangyang),7,0.0484,0.0138,0.22273493975903613
Antwerp,Gwangyang (Kwangyang),8,0.0423,0.0315,0.3441067761806982
Antwerp,Gwangyang (Kwangyang),9,0.0221,0.2616,0.7253541017653167
Antwerp,Gwangyang (Kwangyang),10,-0.0116,0.5567,0.890824165915239
Antwerp,Gwangyang (Kwangyang),11,0.0019,0.9247,0.9874707520891364
Antwerp,Gwangyang (Kwangyang),12,0.022,0.2635,0.7267081389320892
Antwerp,Gwangyang (Kwangyang),13,-0.0116,0.5543,0.8905635159542445
Antwerp,Gwangyang (Kwangyang),14,0.0085,0.6657,0.923715179968701
Antwerp,Hong Kong,1,-0.008,0.6827,0.930151569277877
Antwerp,Hong Kong,2,-0.0143,0.4662,0.8528397260273972
Antwerp,Hong Kong,3,0.0044,0.8214,0.9670165526373868
Antwerp,Hong Kong,4,0.0357,0.0692,0.4771546391752577
Antwerp,Hong Kong,5,-0.0141,0.4748,0.855669376693767
Antwerp,Hong Kong,6,-0.0263,0.1808,0.6534347826086956
Antwerp,Hong Kong,7,-0.0075,0.7044,0.931033043478261
Antwerp,Hong Kong,8,-0.0138,0.4835,0.8605620608899297
Antwerp,Hong Kong,9,-0.0138,0.4827,0.8601378848728246
Antwerp,Hong Kong,10,0.0302,0.1246,0.5645714285714286
Antwerp,Hong Kong,11,-0.0076,0.7004,0.9308338745940545
Antwerp,Hong Kong,12,-0.0013,0.9471,0.9908012350443843
Antwerp,Hong Kong,13,-0.0013,0.946,0.9908012350443843
Antwerp,Hong Kong,14,0.0427,0.0301,0.3350041841004184
Antwerp,Kaohsiung,1,-0.0258,0.1884,0.6597500000000001
Antwerp,Kaohsiung,2,0.003,0.8805,0.9796734013747136
Antwerp,Kaohsiung,3,-0.0144,0.4647,0.8528397260273972
Antwerp,Kaohsiung,4,0.0087,0.6596,0.9195801047120419
Antwerp,Kaohsiung,5,-0.0314,0.1104,0.5368628884826325
Antwerp,Kaohsiung,6,-0.0137,0.4865,0.8638345563709139
Antwerp,Kaohsiung,7,-0.0311,0.1138,0.5454077407740775
Antwerp,Kaohsiung,8,0.0268,0.1728,0.64218410041841
Antwerp,Kaohsiung,9,0.0152,0.4399,0.8370057224606581
Antwerp,Kaohsiung,10,0.0326,0.098,0.5141617357001973
Antwerp,Kaohsiung,11,0.0325,0.0984,0.515244094488189
Antwerp,Kaohsiung,12,-0.0139,0.4813,0.8589453203622945
Antwerp,Kaohsiung,13,0.0035,0.8594,0.9780122543841115
Antwerp,Kaohsiung,14,-0.0081,0.6797,0.9300421810699588
Antwerp,Kobe,1,0.0279,0.1548,0.617343328335832
Antwerp,Kobe,2,0.0337,0.0859,0.500739934711643
Antwerp,Kobe,3,-0.0303,0.1228,0.5617334479793638
Antwerp,Kobe,4,0.0104,0.5969,0.9037189189189189
Antwerp,Kobe,5,0.0166,0.3971,0.818065764023211
Antwerp,Kobe,6,0.1048,0.0,0.0
Antwerp,Kobe,7,0.0346,0.0784,0.48579199999999995
Antwerp,Kobe,8,0.0229,0.2449,0.7124325505188421
Antwerp,Kobe,9,-0.0415,0.0348,0.3594873786407767
Antwerp,Kobe,10,-0.0181,0.3566,0.7939812168231931
Antwerp,Kobe,11,-0.0123,0.5313,0.8859442181134439
Antwerp,Kobe,12,-0.0299,0.1287,0.57057
Antwerp,Kobe,13,0.0286,0.1466,0.5994711760184473
Antwerp,Kobe,14,-0.0007,0.9713,0.9929644572526417
