port,ARIMA_RMSE,ARIMA_MAE,ARIMA_MAPE,HW_RMSE,HW_MAE,HW_MAPE,Better
Antwerp,10.94,8.52,17.35,10.96,8.57,17.13,ARIMA
Busan,7.98,6.11,13.12,7.8,5.94,12.44,Holt-Winters
Chiba,10.07,7.85,29.85,9.86,7.69,26.78,Holt-Winters
Guangzhou (Nansha),5.89,4.83,17.38,5.87,4.78,18.16,Holt-Winters
Gwangyang (Kwangyang),7.39,5.84,17.77,7.5,5.95,18.38,ARIMA
Hong Kong,6.45,5.22,13.01,6.51,5.22,12.74,ARIMA
Kaohsiung,7.49,5.32,26.47,7.37,5.25,25.9,Holt-Winters
Kobe,7.83,6.01,27.31,7.84,6.01,27.43,ARIMA
Mizushima,9.02,6.44,28.25,9.22,6.94,28.75,ARIMA
Nagoya,10.93,7.98,30.89,10.72,8.0,29.41,Holt-Winters
Ningbo,9.59,7.31,15.15,9.66,7.32,15.27,ARIMA
Port Klang,5.74,4.35,13.6,5.97,4.63,15.12,ARIMA
Qingdao,5.81,4.36,16.3,5.92,4.41,16.78,ARIMA
Rotterdam,11.7,8.91,12.44,11.35,8.52,11.8,Holt-Winters
Sakai-Semboku,7.3,5.9,29.96,7.5,6.18,29.92,ARIMA
Shanghai (Pudong),17.06,13.47,13.76,18.51,14.57,15.07,ARIMA
Singapore,14.09,9.86,7.24,13.98,9.77,7.21,Holt-Winters
Tianjin Xin Gang,8.08,6.14,25.15,8.1,6.14,25.7,ARIMA
Ulsan,7.49,5.4,24.8,7.65,5.52,24.94,ARIMA
Yokohama,9.42,7.2,28.14,9.37,7.3,27.62,Holt-Winters
