port,Prophet_RMSE,Prophet_MAPE,ARIMA_MAPE,Improvement
Antwerp,11.01,17.57,17.35,-0.22
Busan,8.02,12.37,13.12,0.75
Chiba,9.85,26.24,29.85,3.61
Guangzhou (Nansha),6.26,20.22,17.38,-2.84
Gwangyang (Kwangyang),7.15,16.77,17.77,1.0
Hong Kong,6.12,12.15,13.01,0.86
Kaohsiung,7.29,26.19,26.47,0.28
Kobe,7.8,27.12,27.31,0.19
Mizushima,9.23,28.43,28.25,-0.18
Nagoya,10.5,29.25,30.89,1.64
Ningbo,9.82,15.8,15.15,-0.65
Port Klang,5.64,14.08,13.6,-0.48
Qingdao,5.77,16.02,16.3,0.28
Rotterdam,10.98,11.48,12.44,0.96
Sakai-Semboku,6.97,27.51,29.96,2.45
Shanghai (Pudong),17.46,14.09,13.76,-0.33
Singapore,14.25,6.97,7.24,0.27
Tianjin Xin Gang,8.06,25.58,25.15,-0.43
Ulsan,7.35,29.14,24.8,-4.34
Yokohama,8.82,24.93,28.14,3.21
