port,XGB_RMSE,XGB_MAPE,ARIMA_MAPE,Improvement
Antwerp,12.34,19.25,17.35,-1.9
Busan,8.86,14.4,13.12,-1.28
Chiba,10.03,26.72,29.85,3.13
Guangzhou (Nansha),6.06,17.44,17.38,-0.06
Gwangyang (Kwangyang),7.88,19.32,17.77,-1.55
Hong Kong,6.19,12.36,13.01,0.65
Kaohsiung,8.04,28.77,26.47,-2.3
Kobe,7.64,21.78,27.31,5.53
Mizushima,8.6,22.77,28.25,5.48
Nagoya,10.76,26.39,30.89,4.5
Ningbo,10.43,15.49,15.15,-0.34
Port Klang,6.18,15.12,13.6,-1.52
Qingdao,5.98,16.02,16.3,0.28
Rotterdam,12.08,13.24,12.44,-0.8
Sakai-Semboku,7.06,27.79,29.96,2.17
Shanghai (Pudong),15.79,11.87,13.76,1.89
Singapore,15.3,7.81,7.24,-0.57
Tianjin Xin Gang,8.36,25.66,25.15,-0.51
Ulsan,7.71,29.88,24.8,-5.08
Yokohama,8.35,22.94,28.14,5.2
